Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g10050.t1,Not Available,109,,0,-,
g10051.t1,gtpase activating protein,1157,73.75%,6,F:Rab GTPase activator activity; P:actin filament organization; C:cellular bud tip; P:exocytosis; C:incipient cellular bud site; P:positive regulation of Rab GTPase activity,-
g10052.t1,Not Available,1046,,0,-,
g10053.t1,af357910_1 microneme protein partial,544,43.00%,0,-,
g10054.t1,Not Available,288,,0,-,
g10055.t1,hir3_chagb ame: full=histone transcription regulator 3 homolog,2484,66.80%,4,"P:chromosome segregation; F:binding; C:nucleus; P:regulation of transcription, DNA-dependent",-
g10056.t1,Not Available,186,,0,-,
g10057.t1,Not Available,807,,0,-,
g10058.t1,Not Available,413,,0,-,
g10059.t1,mpr-like gpcr protein,317,76.75%,2,F:receptor activity; C:integral to membrane,-
g1006.t1,er lumen protein retaining receptor,270,86.75%,7,F:receptor activity; F:ER retention sequence binding; P:protein retention in ER lumen; P:pathogenesis; C:integral to membrane; C:endoplasmic reticulum; P:protein transport,-
g10060.t1,Not Available,457,,0,-,
g10061.t1,translation machinery-associated protein 7,68,85.70%,1,F:hydrolase activity,-
g10062.t1,serine threonine-protein kinase prp4,814,82.30%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g10063.t1,Not Available,423,,0,-,
g10064.t1,Not Available,212,,0,-,
g10065.t1,Not Available,384,,0,-,
g10066.t1,ran1-like protein kinase,866,79.35%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g10067.t1,Not Available,469,,0,-,
g10068.t1,ankyrin repeat containing protein,1810,58.30%,0,-,
g10069.t1,Not Available,403,,0,-,
g1007.t1,mitochondrial ribosomal protein s19,494,87.10%,4,C:ribosome; F:structural constituent of ribosome; F:RNA binding; P:translation,-
g10070.t1,Not Available,453,,0,-,
g10071.t1,Not Available,120,,0,-,
g10072.t1,hypothetical protein FG03099.1 [Gibberella zeae PH-1],480,67.45%,0,-,
g10073.t1,Not Available,315,,0,-,
g10074.t1,d-alanyl-d-alanine carboxypeptidase d-alanyl-d-alanine-endopeptidase,481,52.05%,9,P:cell cycle; P:response to antibiotic; P:regulation of cell shape; P:cellular cell wall organization; F:serine-type D-Ala-D-Ala carboxypeptidase activity; P:cell division; P:proteolysis; P:peptidoglycan biosynthetic process; C:extracellular region,EC:3.4.16.4
g10075.t1,Not Available,394,,0,-,
g10076.t1,protein,624,47.75%,0,-,
g10077.t1,aaa family atpase,1240,54.80%,2,F:ATP binding; F:nucleoside-triphosphatase activity,EC:3.6.1.15
g10078.t1,beta-glucuronidase precursor,641,75.55%,3,F:beta-glucuronidase activity; P:carbohydrate metabolic process; F:cation binding,EC:3.2.1.31
g10079.t1,polymerase [rice ragged stunt virus],496,53.00%,0,-,
g1008.t1,transcription initiation factor tfiid subunit 10,330,81.20%,5,P:translational initiation; F:RNA polymerase II transcription factor activity; P:transcription initiation; F:translation initiation factor activity; C:nucleus,-
g10080.t1,hydroxyacid oxidase,385,74.95%,4,F:FMN binding; P:response to cAMP; F:oxidoreductase activity; P:oxidation reduction,-
g10081.t1,Not Available,342,,0,-,
g10082.t1,Not Available,183,,0,-,
g10083.t1,Not Available,126,,0,-,
g10084.t1,gmc oxidoreductase,550,48.15%,3,"F:FAD binding; P:oxidation reduction; F:oxidoreductase activity, acting on CH-OH group of donors",-
g10085.t1,Not Available,342,,0,-,
g10086.t1,Not Available,153,,0,-,
g10087.t1,glutathionylspermidine synthase,476,59.65%,3,F:glutathionylspermidine synthase activity; P:metabolic process; F:ATP binding,EC:6.3.1.8
g10088.t1,salicylate hydroxylase,507,43.85%,3,F:zinc ion binding; P:oxidation reduction; F:salicylate 1-monooxygenase activity,EC:1.14.13.1
g10089.t1,Not Available,556,,0,-,
g1009.t1,Not Available,1244,,0,-,
g10090.t1,cap22 protein,222,52.25%,3,C:extracellular region; C:cell wall; P:mycelium development,-
g10091.t1,hypothetical protein FOXB_14286 [Fusarium oxysporum Fo5176],815,54.20%,0,-,
g10092.t1,dopa -dioxygenase,187,78.15%,1,"F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",EC:1.13.11.0
g10093.t1,Not Available,89,,0,-,
g10094.t1,hypothetical protein FOXB_12993 [Fusarium oxysporum Fo5176],1182,41.95%,0,-,
g10095.t1,Not Available,157,,0,-,
g10096.t1,Not Available,135,,0,-,
g10097.t1,duf636 domain-containing protein,398,50.20%,3,"P:rRNA methylation; F:carbon-sulfur lyase activity; F:rRNA (adenine-N6,N6-)-dimethyltransferase activity",-
g10098.t1,hypothetical protein TRIATDRAFT_31330 [Trichoderma atroviride IMI 206040],466,38.13%,0,-,
g10099.t1,hypothetical protein MYCTH_94484 [Myceliophthora thermophila ATCC 42464],414,40.15%,0,-,
g101.t1,nadp-dependent l-serine l-allo-threonine dehydrogenase ydfg,722,89.75%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g1010.t1,wd40 repeat-like-containing domain,1676,65.20%,1,F:molecular_function,
g10100.t1,f-box domain-containing protein,370,80.75%,2,F:molecular_function; C:cellular_component,
g10101.t1,Not Available,262,,0,-,
g10102.t1,Not Available,251,,0,-,
g10103.t1,succinate fumarate mitochondrial transporter,323,88.00%,4,C:mitochondrial inner membrane; C:integral to membrane; F:binding; P:transmembrane transport,-
g10104.t1,Not Available,198,,0,-,
g10105.t1,Not Available,164,,0,-,
g10106.t1,Not Available,512,,0,-,
g10107.t1,sulfur controller 2,669,73.15%,1,"P:regulation of transcription, DNA-dependent",-
g10108.t1,Not Available,468,,0,-,
g10109.t1,clavaminate synthase-like protein,380,85.90%,2,"P:oxidation reduction; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",EC:1.13.11.0
g1011.t1,Not Available,149,,0,-,
g10110.t1,Not Available,1187,,0,-,
g10111.t1,kinase activator,489,68.05%,5,F:kinase activity; C:membrane; C:cytoplasm; P:autophagy; P:phosphorylation,-
g10112.t1,hsp90 co-chaperone cdc37,518,67.90%,0,-,
g10113.t1,tata-binding protein-associated factor mot1,1895,85.60%,3,F:ATP binding; F:helicase activity; F:DNA binding,-
g10114.t1,Not Available,87,,0,-,
g10115.t1,Not Available,730,,0,-,
g10116.t1,Not Available,790,,0,-,
g10117.t1,chromosome segregation protein,1195,81.35%,3,F:ATP binding; P:chromosome organization; C:chromosome,-
g10118.t1,Not Available,230,,0,-,
g10119.t1,hypothetical protein GLRG_03625 [Glomerella graminicola M1.001],1152,65.65%,3,P:carbohydrate metabolic process; F:cation binding; F:catalytic activity,-
g1012.t1,predicted protein [Nectria haematococca mpVI 77-13-4],433,73.35%,0,-,
g10120.t1,Not Available,731,,0,-,
g10121.t1,hmg box protein,489,71.05%,1,F:DNA binding,-
g10122.t1,saccharopine dehydrogenase,406,62.70%,3,F:catalytic activity; P:metabolic process; F:binding,-
g10123.t1,Not Available,203,,0,-,
g10124.t1,t-complex protein 1 subunit theta,547,92.10%,4,P:protein folding; C:cytoplasm; F:unfolded protein binding; F:ATP binding,-
g10125.t1,Not Available,503,,0,-,
g10126.t1,phd and ring finger domain,792,55.80%,4,C:ribosome; F:structural constituent of ribosome; F:zinc ion binding; P:translation,-
g10127.t1,Not Available,1483,,0,-,
g10128.t1,50s ribosomal subunit l30,553,72.95%,1,F:hydrolase activity,-
g10129.t1,ran exchange factor prp20 pim1,477,55.80%,0,-,
g1013.t1,Not Available,225,,0,-,
g10130.t1,ran exchange factor prp20,882,63.70%,0,-,
g10131.t1,Not Available,597,,0,-,
g10132.t1,tripeptidyl peptidase a,582,60.10%,5,F:metal ion binding; C:extracellular space; P:proteolysis; F:serine-type endopeptidase activity; P:pathogenesis,EC:3.4.21.0
g10133.t1,Not Available,1487,,0,-,
g10134.t1,multidrug resistance-associated protein 1,1459,81.10%,5,"P:transmembrane transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding",-
g10135.t1,Not Available,311,,0,-,
g10136.t1,ferric-chelate reductase,726,60.10%,6,F:FAD binding; C:integral to membrane; F:oxidoreductase activity; F:iron ion binding; F:electron carrier activity; P:oxidation reduction,-
g10137.t1,Not Available,291,,0,-,
g10138.t1,isoeugenol monooxygenase,546,56.70%,2,"F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; F:monooxygenase activity",EC:1.13.11.0
g10139.t1,Not Available,244,,0,-,
g1014.t1,c4-dicarboxylate transporter malic acid transport,361,56.25%,2,P:transmembrane transport; C:integral to membrane,-
g10140.t1,polyketide synthase,336,47.20%,2,F:serine-type peptidase activity; P:proteolysis,-
g10141.t1,acetolactate synthase,702,75.05%,4,P:metabolic process; F:lyase activity; F:magnesium ion binding; F:thiamin pyrophosphate binding,-
g10142.t1,x-pro dipeptidyl-peptidase c-terminal non-catalytic domain-containing protein,599,59.05%,3,F:dipeptidyl-peptidase activity; F:aminopeptidase activity; P:proteolysis,EC:3.4.11.0
g10143.t1,fungal specific transcription factor domain-containing protein,922,41.30%,7,"F:transcription factor activity; F:protein kinase regulator activity; F:DNA binding; C:protein kinase CK2 complex; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10144.t1,Not Available,632,,0,-,
g10145.t1,cytochrome p450,541,59.55%,5,F:heme binding; C:membrane; F:monooxygenase activity; F:electron carrier activity; P:oxidation reduction,-
g10146.t1,pisatin demethylase,499,61.30%,6,F:heme binding; F:monooxygenase activity; P:methylation; F:electron carrier activity; P:oxidation reduction; F:methyltransferase activity,EC:2.1.1.0
g10147.t1,Not Available,364,,0,-,
g10148.t1,Not Available,265,,0,-,
g10149.t1,tpr domain protein,571,72.65%,1,F:identical protein binding,-
g1015.t1,Not Available,134,,0,-,
g10150.t1,Not Available,101,,0,-,
g10151.t1,hypothetical protein VDAG_04875 [Verticillium dahliae VdLs.17],225,48.40%,0,-,
g10152.t1,Not Available,153,,0,-,
g10153.t1,hypothetical protein CTHT_0004000 [Chaetomium thermophilum var. thermophilum DSM 1495],547,62.30%,0,-,
g10154.t1,Not Available,291,,0,-,
g10155.t1,integral membrane protein,737,49.15%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10156.t1,Not Available,550,,0,-,
g10157.t1,u-box domain-containing protein,511,43.20%,0,-,
g10158.t1,o-methyltransferase,914,61.05%,2,F:O-methyltransferase activity; P:methylation,-
g10159.t1,hypothetical protein TRIATDRAFT_308164 [Trichoderma atroviride IMI 206040],760,42.67%,0,-,
g1016.t1,aspartic proteinase,425,48.40%,2,F:aspartic-type endopeptidase activity; P:proteolysis,EC:3.4.23.0
g10160.t1,sam domain,381,67.90%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10161.t1,Not Available,181,,0,-,
g10162.t1,hypothetical protein MYCTH_2307822 [Myceliophthora thermophila ATCC 42464],162,62.85%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10163.t1,copper amine oxidase,780,59.95%,7,F:amine oxidase activity; P:translational initiation; F:copper ion binding; F:quinone binding; P:amine metabolic process; F:translation initiation factor activity; P:oxidation reduction,EC:1.4.3.21
g10164.t1,fmn dependent,434,73.80%,5,C:cytosol; F:lactate 2-monooxygenase activity; C:nucleus; P:oxidation reduction; F:FMN binding,EC:1.13.12.4
g10165.t1,taurine dioxygenase family protein,371,76.75%,2,"P:oxidation reduction; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",EC:1.13.11.0
g10166.t1,Not Available,280,,0,-,
g10167.t1,hypothetical protein NECHADRAFT_28303 [Nectria haematococca mpVI 77-13-4],294,54.00%,0,-,
g10168.t1,Not Available,119,,0,-,
g10169.t1,hypothetical protein TRIATDRAFT_308164 [Trichoderma atroviride IMI 206040],518,37.70%,0,-,
g1017.t1,Not Available,256,,0,-,
g10170.t1,Not Available,218,,0,-,
g10171.t1,Not Available,513,,0,-,
g10172.t1,adenylosuccinate lyase,482,81.35%,2,"P:purine ribonucleotide biosynthetic process; F:N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",EC:4.3.2.2
g10173.t1,Not Available,295,,0,-,
g10174.t1,Not Available,534,,0,-,
g10175.t1,nuclear distribution protein nudf,458,83.15%,6,C:cytoplasm; P:mitosis; P:transport; C:spindle pole; P:cell division; C:microtubule,-
g10176.t1,Not Available,83,,0,-,
g10177.t1,gnat family,195,53.90%,6,C:ribosome; F:N-acetyltransferase activity; F:structural constituent of ribosome; F:RNA binding; P:translation; P:RNA processing,-
g10178.t1,Not Available,97,,0,-,
g10179.t1,Not Available,697,,0,-,
g1018.t1,hypothetical protein FG10817.1 [Gibberella zeae PH-1],161,66.25%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10180.t1,telomere silencing protein,1080,63.95%,1,P:mycelium development,-
g10181.t1,Not Available,310,,0,-,
g10182.t1,hypothetical protein GLRG_09566 [Glomerella graminicola M1.001],914,58.80%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10183.t1,Not Available,728,,0,-,
g10184.t1,exocyst component sec3,1498,65.00%,1,F:molecular_function,
g10185.t1,l-xylulose reductase,375,86.00%,3,F:mannitol 2-dehydrogenase (NADP+) activity; P:oxidation reduction; F:binding,EC:1.1.1.138
g10186.t1,Not Available,345,,0,-,
g10187.t1,c6 transcription,759,56.45%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10188.t1,Not Available,135,,0,-,
g10189.t1,Not Available,169,,0,-,
g1019.t1,wd domain containing protein,2675,60.55%,0,-,
g10190.t1,sugar transporter,627,76.00%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g10191.t1,Not Available,499,,0,-,
g10192.t1,predicted protein [Verticillium albo-atrum VaMs.102],207,61.00%,0,-,
g10193.t1,Not Available,266,,0,-,
g10194.t1,Not Available,404,,0,-,
g10195.t1,carboxylesterase family protein,601,56.70%,6,"F:cholinesterase activity; P:acetylcholine catabolic process; P:regulation of synaptic transmission; P:synaptic transmission, cholinergic; F:acetylcholinesterase activity; P:choline metabolic process",EC:3.1.1.8; EC:3.1.1.7
g10196.t1,Not Available,600,,0,-,
g10197.t1,hypothetical protein GLRG_09549 [Glomerella graminicola M1.001],497,55.25%,0,-,
g10198.t1,Not Available,891,,0,-,
g10199.t1,serine threonine protein kinase,898,67.45%,5,F:kinase activity; C:membrane; P:phosphorylation; F:calcium ion binding; P:transmembrane transport,-
g102.t1,endoglucanase ii,105,67.13%,12,"P:lipid metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cellulose binding; F:hydrolase activity, acting on ester bonds; F:hydrolase activity; P:carbohydrate metabolic process; C:extracellular region; P:carbohydrate catabolic process; F:carbohydrate binding; F:FAD binding; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors",
g1020.t1,dead box atp-dependent rna,1436,66.10%,3,F:nucleic acid binding; F:ATP binding; F:ATP-dependent helicase activity,-
g10200.t1,hypothetical protein GLRG_09550 [Glomerella graminicola M1.001],1407,65.50%,2,F:molecular_function; P:biological_process,
g10201.t1,Not Available,473,,0,-,
g10202.t1,toxin biosynthesis,726,61.80%,0,-,
g10203.t1,Not Available,1168,,0,-,
g10204.t1,p type cation copper-transporter,1131,73.30%,6,"F:copper ion binding; P:copper ion transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; P:ATP biosynthetic process; F:ATP binding",-
g10205.t1,isoflavone reductase family protein,331,64.20%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g10206.t1,Not Available,86,,0,-,
g10207.t1,cyclin domain-containing protein,354,62.30%,3,P:regulation of cell division; F:protein kinase binding; P:regulation of cyclin-dependent protein kinase activity,-
g10208.t1,Not Available,323,,0,-,
g10209.t1,regulatory protein abaa,880,52.60%,3,"F:transcription factor activity; C:nucleus; P:regulation of transcription, DNA-dependent",-
g1021.t1,phosphate-repressible phosphate permease,595,76.50%,4,C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:phosphate transport; F:symporter activity,-
g10210.t1,hypothetical protein NECHADRAFT_26479 [Nectria haematococca mpVI 77-13-4],1022,60.15%,1,P:mycelium development,-
g10211.t1,Not Available,233,,0,-,
g10212.t1,peptidyl-prolyl cis-trans isomerase,953,90.20%,4,P:protein folding; P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity; C:nucleus,EC:5.2.1.8
g10213.t1,hypothetical protein AOR_1_378094 [Aspergillus oryzae RIB40],432,61.50%,0,-,
g10214.t1,ring-8 protein,473,65.40%,1,F:zinc ion binding,-
g10215.t1,Not Available,384,,0,-,
g10216.t1,Not Available,140,,0,-,
g10217.t1,hypothetical protein FG00882.1 [Gibberella zeae PH-1],394,53.15%,0,-,
g10218.t1,golgi complex component,2525,77.20%,1,F:zinc ion binding,-
g10219.t1,Not Available,1300,,0,-,
g1022.t1,Not Available,132,,0,-,
g10220.t1,Not Available,324,,0,-,
g10221.t1,Not Available,382,,0,-,
g10222.t1,adenine phosphoribosyltransferase,240,80.35%,4,C:cytoplasm; F:adenine phosphoribosyltransferase activity; P:nucleoside metabolic process; P:adenine salvage,EC:2.4.2.7
g10223.t1,Not Available,168,,0,-,
g10224.t1,glycoside hydrolase family 47 protein,1043,63.20%,3,"C:membrane; F:mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; F:calcium ion binding",EC:3.2.1.113
g10225.t1,Not Available,745,,0,-,
g10226.t1,peroxisomal biogenesis factor 2,457,81.80%,4,C:peroxisomal membrane; C:integral to membrane; P:peroxisome organization; F:zinc ion binding,-
g10227.t1,importin-beta domain-containing protein,1233,73.00%,3,P:intracellular protein transport; F:binding; F:protein transporter activity,-
g10228.t1,Not Available,410,,0,-,
g10229.t1,Not Available,835,,0,-,
g1023.t1,Not Available,395,,0,-,
g10230.t1,deubiquitination-protection protein dph1,428,71.20%,2,F:molecular_function; C:cellular_component,
g10231.t1,tumor suppressor candidate 4,1136,74.60%,5,P:proline transport; C:cytosol; P:urea transport; C:nucleus; P:regulation of transport,-
g10232.t1,Not Available,278,,0,-,
g10233.t1,tyrosyl-trna synthetase,613,71.45%,5,F:ATP binding; P:tyrosyl-tRNA aminoacylation; C:mitochondrial matrix; P:mRNA processing; F:tyrosine-tRNA ligase activity,EC:6.1.1.1
g10234.t1,Not Available,222,,0,-,
g10235.t1,succinate dehydrogenase membrane anchor subunit,612,72.35%,7,F:heme binding; P:transport; C:mitochondrial respiratory chain complex II; P:tricarboxylic acid cycle; C:integral to membrane; F:ubiquinone binding; P:electron transport chain,-
g10236.t1,iq calmodulin-binding motif protein,652,65.65%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g10237.t1,px domain-containing protein,200,77.00%,2,P:cell communication; F:phosphoinositide binding,-
g10238.t1,ser thr protein phosphatase,289,64.70%,1,F:hydrolase activity,-
g10239.t1,ubiquitin-protein ligase sel1,463,73.75%,2,F:ligase activity; F:binding,-
g1024.t1,Not Available,725,,0,-,
g10240.t1,Not Available,209,,0,-,
g10241.t1,com1 regulatory protein,685,54.25%,0,-,
g10242.t1,Not Available,421,,0,-,
g10243.t1,glucose-inducible sam-dependent methyltransferase,339,66.70%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10244.t1,Not Available,305,,0,-,
g10245.t1,Not Available,565,,0,-,
g10246.t1,upf0052 domain protein,773,72.35%,0,-,
g10247.t1,Not Available,436,,0,-,
g10248.t1,oxidoreductase domain-containing protein,375,64.70%,3,F:oxidoreductase activity; P:oxidation reduction; F:binding,-
g10249.t1,Not Available,85,,0,-,
g1025.t1,striatin pro11,841,70.85%,5,P:sporocarp development involved in sexual reproduction; C:membrane; C:membrane fraction; F:calmodulin binding; P:cell differentiation,-
g10250.t1,Not Available,200,,0,-,
g10251.t1,pig-p domain-containing protein,330,72.40%,1,F:transferase activity,-
g10252.t1,Not Available,662,,0,-,
g10253.t1,amidase signature enzyme,613,66.75%,1,"F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor",EC:6.3.5.0
g10254.t1,beta-flanking protein,211,65.70%,2,F:molecular_function; C:cellular_component,
g10255.t1,Not Available,203,,0,-,
g10256.t1,cutinase gene palindrome-binding protein,620,67.95%,7,"F:transcription factor activity; F:sequence-specific DNA binding; F:signal transducer activity; P:signal transduction; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10257.t1,Not Available,518,,0,-,
g10258.t1,dna repair protein rad50,2577,75.25%,10,P:transmembrane transport; P:DNA repair; F:zinc ion binding; P:response to antibiotic; C:integral to membrane; C:Mre11 complex; F:tetracycline:hydrogen antiporter activity; F:ATP binding; P:tetracycline transport; F:nuclease activity,-
g10259.t1,Not Available,355,,0,-,
g1026.t1,hypothetical protein CLUG_02201 [Clavispora lusitaniae ATCC 42720],431,63.00%,0,-,
g10260.t1,Not Available,454,,0,-,
g10261.t1,hypothetical protein FOXB_11134 [Fusarium oxysporum Fo5176],407,56.30%,2,F:molecular_function; C:cellular_component,
g10262.t1,Not Available,580,,0,-,
g10263.t1,peptidyl-prolyl cis-trans isomerase,180,88.90%,5,P:protein folding; P:protein peptidyl-prolyl isomerization; F:peptide binding; F:peptidyl-prolyl cis-trans isomerase activity; C:mitochondrion,EC:5.2.1.8
g10264.t1,Not Available,515,,0,-,
g10265.t1,golgi to endosome transport protein,525,96.05%,0,-,
g10266.t1,ctr copper transporter family protein,195,65.85%,3,P:copper ion transmembrane transport; C:integral to membrane; F:copper ion transmembrane transporter activity,-
g10267.t1,Not Available,233,,0,-,
g10268.t1,hemerythrin hhe cation binding domain-containing protein,294,77.80%,0,-,
g10269.t1,Not Available,186,,0,-,
g1027.t1,dna repair protein rad14,383,71.70%,4,F:damaged DNA binding; P:nucleotide-excision repair; C:nucleus; F:nucleotide binding,-
g10270.t1,zip zinc transporter,447,68.25%,4,P:metal ion transport; C:membrane; F:metal ion transmembrane transporter activity; P:transmembrane transport,-
g10271.t1,Not Available,496,,0,-,
g10272.t1,Not Available,272,,0,-,
g10273.t1,stb2 protein,1188,65.35%,0,-,
